ticker,company_name,drug_names,conditions,phase,status,enrollment,approval_score,approval_probability,historical_fda_rate,condition_complexity,start_date,completion_date,nct_id,pdufa_date,days_until_decision,pdufa_drug_name,pdufa_condition,review_priority
REGN,"REGENERON PHARMACEUTICALS, INC.","Placebo, Aflibercept (ziv-aflibercept, AVE0005, VEGF trap, ZALTRAP®), FOLFIRI (Irinotecan, 5-Fluorouracil, and Leucovorin), FOLFIRI (Irinotecan, 5-Fluorouracil, and Leucovorin)","Colorectal Neoplasms, Neoplasm Metastasis",PHASE3,COMPLETED,1226,99.9,0.9989324,1.0,0,2007-11,2012-06,NCT00561470,2026-07-15,97.0,Dupixent,Chronic Spontaneous Urticaria,STANDARD
IRWD,IRONWOOD PHARMACEUTICALS INC,"Linaclotide 290 micrograms, Matching placebo",Irritable Bowel Syndrome Characterized by Constipation,PHASE3,COMPLETED,803,99.9,0.998793,0.93259760087241,0,2009-07,2010-08,NCT00948818,,,,,
PHAT,"Phathom Pharmaceuticals, Inc.","Vonoprazan, Amoxicillin, Clarithromycin, Lansoprazole",Helicobacter Pylori Infection,PHASE3,COMPLETED,1046,99.9,0.998793,0.93259760087241,0,2019-12-10,2021-03-18,NCT04167670,,,,,
PHAT,"Phathom Pharmaceuticals, Inc.","Vonoprazan, Lansoprazole",Erosive Esophagitis,PHASE3,COMPLETED,1027,99.9,0.998793,0.93259760087241,0,2019-10-28,2021-08-24,NCT04124926,,,,,
PHAT,"Phathom Pharmaceuticals, Inc.","Vonoprazan, Placebo","Non-Erosive Gastro-Esophageal Reflux Disease, Heartburn",PHASE3,COMPLETED,776,99.9,0.998793,0.93259760087241,0,2022-01-17,2023-05-17,NCT05195528,,,,,
OPK,"OPKO HEALTH, INC.","CTAP101 Capsules, Calcitriol, Doxercalciferol, Paricalcitol","Chronic Kidney Disease, Hyperparathyroidism, Secondary, Vitamin D Deficiency",PHASE3,COMPLETED,298,99.9,0.9985018,0.93259760087241,0,2013-04,2015-05,NCT02282813,,,,,
AMPH,"Amphastar Pharmaceuticals, Inc.","Epinephrine inhalation aerosol, Placebo, epinephrine inhalation aerosol",Asthma,PHASE3,COMPLETED,373,99.9,0.9988715,1.0,0,2011-07,2011-12,NCT01357642,,,,,
ABCL,AbCellera Biologics Inc.,"Bamlanivimab, Placebo, Etesevimab","COVID-19, SARS-CoV2",PHASE3,COMPLETED,1180,99.9,0.998793,0.93259760087241,0,2020-08-02,2021-05-20,NCT04497987,,,,,
ABCL,AbCellera Biologics Inc.,"LY3819253, LY3832479, LY3853113, Placebo",COVID-19,"PHASE2, PHASE3",COMPLETED,3307,99.9,0.998793,0.93259760087241,0,2020-06-17,2023-02-21,NCT04427501,,,,,
COLL,"COLLEGIUM PHARMACEUTICAL, INC","Oxycodone DETERx, Placebo",Chronic Low Back Pain,PHASE3,COMPLETED,740,99.9,0.9989324,1.0,0,2012-08,2014-07,NCT01685684,,,,,
