ticker,company_name,total_drugs,avg_score_all,max_score,min_score,pdufa_count,safe_pdufa_drugs,risky_pdufa_drugs,avg_pdufa_score,next_pdufa_drug,next_pdufa_date,next_pdufa_days,next_pdufa_score,risk_rating,conflict_warning,verified_note
REGN,"REGENERON PHARMACEUTICALS, INC.",9,22.3,99.9,0.0,9,2,7,22.3,Dupixent,2026-07-15,97.0,99.9,LOW,,Dupixent - established drug new indication
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",3,0.2,0.2,0.1,3,0,3,0.2,Zilebesiran,2026-08-01,114.0,0.2,LOW,,Zilebesiran - Priority review
BIIB,BIOGEN INC.,23,47.9,99.9,0.0,23,11,12,47.9,Felzartamab,2026-08-10,123.0,99.9,LOW,,Felzartamab - Priority review
RARE,Ultragenyx Pharmaceutical Inc.,18,0.2,0.9,0.0,18,0,18,0.2,GTX-102,2026-09-19,163.0,0.9,MEDIUM,,GTX-102 - Priority review rare disease
IONS,IONIS PHARMACEUTICALS INC,24,37.5,99.9,0.0,24,9,15,37.5,Donidalorsen,2026-09-22,166.0,99.9,LOW,,Donidalorsen - Standard review
AARD,"Aardvark Therapeutics, Inc.",4,0.1,0.1,0.1,0,0,0,0.0,,,,,NO PDUFA,,
ABCL,AbCellera Biologics Inc.,5,40.1,99.9,0.0,0,0,0,0.0,,,,,NO PDUFA,,
ABEO,ABEONA THERAPEUTICS INC.,7,43.0,99.9,0.1,0,0,0,0.0,,,,,NO PDUFA,,
ABVC,"ABVC BIOPHARMA, INC.",1,0.2,0.2,0.2,0,0,0,0.0,,,,,NO PDUFA,,
ACAD,ACADIA PHARMACEUTICALS INC,24,41.8,99.9,0.0,0,0,0,0.0,,,,,NO PDUFA,,
ACHV,"ACHIEVE LIFE SCIENCES, INC.",1,99.8,99.8,99.8,0,0,0,0.0,,,,,NO PDUFA,,
ACRS,"Aclaris Therapeutics, Inc.",28,21.5,99.9,0.0,0,0,0,0.0,,,,,NO PDUFA,,
ACTU,"ACTUATE THERAPEUTICS, INC.",4,0.0,0.1,0.0,0,0,0,0.0,,,,,NO PDUFA,,
ACXP,"Acurx Pharmaceuticals, Inc.",1,0.1,0.1,0.1,0,0,0,0.0,,,,,NO PDUFA,,
ADMA,"ADMA BIOLOGICS, INC.",3,66.4,99.5,0.1,0,0,0,0.0,,,,,NO PDUFA,,
AEON,"AEON Biopharma, Inc.",3,0.3,0.6,0.1,0,0,0,0.0,,,,,NO PDUFA,,
AGIO,"AGIOS PHARMACEUTICALS, INC.",12,8.7,99.5,0.0,0,0,0,0.0,,,,,NO PDUFA,,
AGMB,Agomab Therapeutics NV,1,0.0,0.0,0.0,0,0,0,0.0,,,,,NO PDUFA,,
AIM,AIM ImmunoTech Inc.,7,14.3,99.8,0.0,0,0,0,0.0,,,,,NO PDUFA,,
AKBA,"Akebia Therapeutics, Inc.",3,33.7,99.9,0.6,0,0,0,0.0,,,,,NO PDUFA,,
ALDX,"Aldeyra Therapeutics, Inc.",34,38.2,99.9,0.1,0,0,0,0.0,,,,,NO PDUFA,,
ALLO,"Allogene Therapeutics, Inc.",1,0.0,0.0,0.0,0,0,0,0.0,,,,,NO PDUFA,,
ALLR,"Allarity Therapeutics, Inc.",1,0.1,0.1,0.1,0,0,0,0.0,,,,,NO PDUFA,,
AMLX,"Amylyx Pharmaceuticals, Inc.",9,22.5,99.9,0.0,0,0,0,0.0,,,,,NO PDUFA,,
AMPH,"Amphastar Pharmaceuticals, Inc.",14,35.8,99.9,0.2,0,0,0,0.0,,,,,NO PDUFA,,
AMRX,"Amneal Pharmaceuticals, Inc.",2,99.7,99.8,99.6,0,0,0,0.0,,,,,NO PDUFA,,
ANAB,"ANAPTYSBIO, INC",6,0.1,0.4,0.0,0,0,0,0.0,,,,,NO PDUFA,,
ANIK,"Anika Therapeutics, Inc.",4,99.9,99.9,99.8,0,0,0,0.0,,,,,NO PDUFA,,
